categoria,archivo_destino,marca,linea,motivo,prompt
portatiles,"lineas-nuevas/portatiles/msi-raider.png","MSI","Raider","FALTANTE","Professional product photography of a MSI Raider laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/dell-inspiron.png","Dell","Inspiron","FALTANTE","Professional product photography of a Dell Inspiron laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/dell-latitude.png","Dell","Latitude","FALTANTE","Professional product photography of a Dell Latitude laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/dell-vostro.png","Dell","Vostro","FALTANTE","Professional product photography of a Dell Vostro laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/dell-xps.png","Dell","XPS","FALTANTE","Professional product photography of a Dell XPS laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/dell-alienware.png","Dell","Alienware","FALTANTE","Professional product photography of a Dell Alienware laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/dell-precision.png","Dell","Precision","FALTANTE","Professional product photography of a Dell Precision laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/surface-laptop.png","Microsoft Surface","Surface Laptop","FALTANTE","Professional product photography of a Microsoft Surface Surface Laptop laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/surface-pro.png","Microsoft Surface","Surface Pro","FALTANTE","Professional product photography of a Microsoft Surface Surface Pro laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
portatiles,"lineas-nuevas/portatiles/surface-studio.png","Microsoft Surface","Surface Studio","FALTANTE","Professional product photography of a Microsoft Surface Surface Studio laptop opened to about 110 degrees, three-quarter front-left view, slim modern chassis, screen showing a clean abstract blue desktop wallpaper, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/asus-prime.png","ASUS","Prime","FALTANTE","Professional product photography of a ASUS Prime ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/asus-tuf-gaming-board.png","ASUS","TUF Gaming","FALTANTE","Professional product photography of a ASUS TUF Gaming ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/asus-proart.png","ASUS","ProArt","FALTANTE","Professional product photography of a ASUS ProArt ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/msi-pro-series.png","MSI","PRO Series","FALTANTE","Professional product photography of a MSI PRO Series ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/msi-mpg.png","MSI","MPG","FALTANTE","Professional product photography of a MSI MPG ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/msi-meg.png","MSI","MEG","FALTANTE","Professional product photography of a MSI MEG ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/gigabyte-ultra-durable.png","GIGABYTE","Ultra Durable","FALTANTE","Professional product photography of a GIGABYTE Ultra Durable ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/gigabyte-gaming-x.png","GIGABYTE","Gaming X","FALTANTE","Professional product photography of a GIGABYTE Gaming X ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/asrock-steel-legend.png","ASRock","Steel Legend","FALTANTE","Professional product photography of a ASRock Steel Legend ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
motherboards,"lineas-nuevas/motherboards/asrock-taichi.png","ASRock","Taichi","FALTANTE","Professional product photography of a ASRock Taichi ATX motherboard, three-quarter top-down view showing VRM heatsinks, PCIe slots, DDR RAM slots, M.2 heatsink covers and the rear I/O panel, intricate detail, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
memoria-ram,"lineas-nuevas/memoria-ram/kingston-valueram.png","Kingston","ValueRAM","FALTANTE","Professional product photography of two Kingston ValueRAM DDR desktop RAM memory modules with an aluminum heat spreader, standing upright at a slight three-quarter angle, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
memoria-ram,"lineas-nuevas/memoria-ram/corsair-vengeance-ddr4.png","Corsair","Vengeance DDR4","REPETIDA (3 refs)","Professional product photography of two Corsair Vengeance DDR4 DDR desktop RAM memory modules with an aluminum heat spreader, standing upright at a slight three-quarter angle, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
memoria-ram,"lineas-nuevas/memoria-ram/corsair-vengeance-ddr5.png","Corsair","Vengeance DDR5","REPETIDA (3 refs)","Professional product photography of two Corsair Vengeance DDR5 DDR desktop RAM memory modules with an aluminum heat spreader, standing upright at a slight three-quarter angle, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
memoria-ram,"lineas-nuevas/memoria-ram/corsair-dominator.png","Corsair","Dominator Platinum","REPETIDA (3 refs)","Professional product photography of two Corsair Dominator Platinum DDR desktop RAM memory modules with an aluminum heat spreader, standing upright at a slight three-quarter angle, gaming aesthetic with subtle RGB lighting accents, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
tarjetas-graficas,"lineas-nuevas/tarjetas-graficas/nvidia-rtx-4070.png","NVIDIA","GeForce RTX 4070","REPETIDA (3 refs)","Professional product photography of a NVIDIA GeForce RTX 4070 graphics card (GPU) with a triple-fan cooler and metal backplate, three-quarter angle, premium build, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
tarjetas-graficas,"lineas-nuevas/tarjetas-graficas/nvidia-rtx-4080.png","NVIDIA","GeForce RTX 4080","REPETIDA (3 refs)","Professional product photography of a NVIDIA GeForce RTX 4080 graphics card (GPU) with a triple-fan cooler and metal backplate, three-quarter angle, premium build, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
tarjetas-graficas,"lineas-nuevas/tarjetas-graficas/nvidia-rtx-4090.png","NVIDIA","GeForce RTX 4090","REPETIDA (3 refs)","Professional product photography of a NVIDIA GeForce RTX 4090 graphics card (GPU) with a triple-fan cooler and metal backplate, three-quarter angle, premium build, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
tarjetas-graficas,"lineas-nuevas/tarjetas-graficas/amd-rx-7700-xt.png","AMD","Radeon RX 7700 XT","REPETIDA (3 refs)","Professional product photography of a AMD Radeon RX 7700 XT graphics card (GPU) with a triple-fan cooler and metal backplate, three-quarter angle, premium build, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
tarjetas-graficas,"lineas-nuevas/tarjetas-graficas/amd-rx-7800-xt.png","AMD","Radeon RX 7800 XT","REPETIDA (3 refs)","Professional product photography of a AMD Radeon RX 7800 XT graphics card (GPU) with a triple-fan cooler and metal backplate, three-quarter angle, premium build, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
tarjetas-graficas,"lineas-nuevas/tarjetas-graficas/amd-rx-7900-xt.png","AMD","Radeon RX 7900 XT","REPETIDA (3 refs)","Professional product photography of a AMD Radeon RX 7900 XT graphics card (GPU) with a triple-fan cooler and metal backplate, three-quarter angle, premium build, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
fuentes-de-poder,"lineas-nuevas/fuentes-de-poder/cm-mwe-bronze.png","Cooler Master","MWE Bronze","REPETIDA (3 refs)","Professional product photography of a Cooler Master MWE Bronze ATX modular power supply unit (PSU), three-quarter angle showing the top fan grille and the front modular cable connector sockets, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
fuentes-de-poder,"lineas-nuevas/fuentes-de-poder/cm-mwe-gold.png","Cooler Master","MWE Gold","REPETIDA (3 refs)","Professional product photography of a Cooler Master MWE Gold ATX modular power supply unit (PSU), three-quarter angle showing the top fan grille and the front modular cable connector sockets, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
fuentes-de-poder,"lineas-nuevas/fuentes-de-poder/cm-gx-series.png","Cooler Master","GX Series","REPETIDA (3 refs)","Professional product photography of a Cooler Master GX Series ATX modular power supply unit (PSU), three-quarter angle showing the top fan grille and the front modular cable connector sockets, single product centered, filling ~85% of the frame, pure white seamless studio background (#FFFFFF), soft even diffused studio lighting, subtle soft contact shadow, ultra-sharp focus, high detail, photorealistic 4k commercial product photography, no added text or watermark overlay, no people, no extra props"
